Price,Close,High,Low,Open,Volume
Ticker,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS
Date,,,,,
2010-06-29,170.70103454589844,174.6808339599819,169.95706180162367,173.9009995273996,7951160
2010-06-30,172.00967407226562,173.79341668387724,168.42427168470635,169.85843811061994,8767560
2010-07-01,170.9699249267578,172.96878301181752,169.85844521631697,171.38223855932964,5783630
2010-07-02,171.45846557617188,172.39963664895865,170.30216538819082,170.96995603281923,4112500
2010-07-05,171.6690673828125,172.9060218860979,170.1273432867993,170.3962511969829,2580270
2010-07-06,176.04324340820312,176.55865591874752,171.20295588547208,171.65113116265917,6248030
2010-07-07,173.65000915527344,176.4914391000391,173.08978999398937,176.4779943872573,3966720
2010-07-08,174.4029541015625,176.56763492277034,174.09371203035772,175.68472897750354,3362920
2010-07-09,179.51663208007812,180.34128676512927,174.79734616252682,175.2365629320403,15701180
2010-07-12,183.7025909423828,184.28969952527493,179.8975731240637,180.0768405190217,14869280
2010-07-13,185.77316284179688,186.44093971550794,182.62249077782818,183.9311550992771,6257310
2010-07-14,187.00563049316406,189.21064531508807,185.8358858452646,186.44092523712814,10558030
2010-07-15,184.8812713623047,187.33727695043186,184.2000498244677,187.33727695043186,3238730
2010-07-16,182.76141357421875,185.18604364364305,182.0667336370808,185.00676257778483,4713880
2010-07-19,183.55914306640625,185.006740391314,181.24207097258594,183.03477199838247,8765580
2010-07-20,183.2499237060547,187.22075040416118,182.4969924646459,183.55916576542347,6684590
2010-07-21,182.23257446289062,185.07401824848037,181.5110187066809,183.76085406413256,4642350
2010-07-22,184.4017333984375,184.91713226006794,181.5109972309072,181.95917253271193,5574970
2010-07-23,182.73007202148438,185.45497239652966,181.59170269214277,185.45497239652966,6921810
2010-07-26,183.9221649169922,184.6302758080037,182.33113454172525,183.30368087141747,3036490
2010-07-27,185.25772094726562,186.2616428412256,183.30368335722903,184.03869735678504,6645910
2010-07-28,186.98768615722656,187.33726231972946,184.64372457808585,185.72382861693777,6571060
2010-07-29,188.28741455078125,189.57816166965412,186.73224563254874,187.41795332979677,11265740
2010-07-30,190.64483642578125,191.5501457272832,186.44094936943156,188.02749397013142,11699660
2010-08-02,191.4918670654297,192.2582567222899,190.14734108427564,190.92268932387566,8263340
2010-08-03,190.24591064453125,192.1775449098237,189.28682270581353,191.8190101747789,8110480
2010-08-04,189.5602264404297,190.83304268730092,187.44483841727993,189.5781572825617,7367350
2010-08-05,188.2560272216797,190.68962946858,185.0963968623526,185.0963968623526,7355280
2010-08-06,187.40003967285156,189.12998988732127,186.57091257415632,187.62859979139623,5460440
2010-08-09,186.62017822265625,188.58318807815058,185.6655627167194,187.33726138445297,2618220
2010-08-10,187.79891967773438,188.43084857365395,185.5221948775337,186.9294583892118,7347270
2010-08-11,187.29244995117188,189.40335172612902,186.2571661310017,188.32326131897864,7335080
2010-08-12,185.82691955566406,186.69189456828232,183.5725984319681,186.16305101751072,4969430
2010-08-13,187.11769104003906,188.35913181108913,184.49137642902622,184.7871737954204,5249930
2010-08-16,186.79946899414062,190.64482092140503,185.58043156954471,186.29751482117032,3593340
2010-08-17,190.12045288085938,191.4605064178697,186.53953637141436,188.950721834805,10065910
2010-08-18,196.47557067871094,197.10748579757055,190.92267230642128,190.92267230642128,19422170
2010-08-19,199.899658203125,200.7377439502504,195.85263519010726,195.85263519010726,10381960
2010-08-20,200.00271606445312,200.76460587691702,197.66324042434658,198.23241813811887,4199070
2010-08-23,196.89236450195312,199.70690467337903,195.67332721053924,198.34893414131193,4097430
2010-08-24,197.97250366210938,198.98985678991397,193.62071113560987,196.89239941979787,5340140
2010-08-25,196.50247192382812,198.54166413194562,195.27446226276982,197.28677872344642,5295610
2010-08-26,195.2565460205078,198.43857982364455,194.194359032279,195.27894931542698,10194050
2010-08-27,191.7428436279297,196.29630657953598,190.53277845454886,195.40444205786477,5775240
2010-08-30,191.0750732421875,195.19829185031057,189.72158863615812,193.61174731353472,3438230
2010-08-31,191.30361938476562,191.81901821695985,189.33612335714565,190.4744923883363,4695080
2010-09-01,192.64816284179688,193.16356172115306,190.02633450062388,191.42015317210516,4808100
2010-09-02,196.07223510742188,196.74449815166562,193.5938258980656,193.5938258980656,5795330
2010-09-03,196.65484619140625,197.1971344816077,194.35121855534862,196.65931864394972,4059080
2010-09-06,197.58255004882812,198.9629375891489,195.86604472118412,197.01785848890083,4773220
2010-09-07,197.11648559570312,198.6313204661077,195.63302628231315,198.6313204661077,4203920
2010-09-08,195.3685760498047,197.18816661081397,194.62460343621984,196.12150724527936,4984800
2010-09-09,201.21726989746094,201.67888992063473,195.68230207197183,196.74896150035255,13014790
2010-09-13,204.58755493164062,205.71247940269004,201.49963397607576,201.6878599581128,7297790
2010-09-14,209.22616577148438,210.64240143088244,204.90576277769753,204.90576277769753,16348730
2010-09-15,212.9236297607422,213.6900057953496,209.39200574189522,209.65642756255565,12751580
2010-09-16,214.70281982421875,216.46863128540377,211.12190419270965,212.94598062085706,12767390
2010-09-17,215.17791748046875,217.454655606926,213.95888014778618,214.70285276849626,10751570
2010-09-20,219.26527404785156,221.39410667093364,214.79249341635744,215.41097750362985,7547730
2010-09-21,221.46585083007812,223.60365604511912,220.06305976858602,220.06305976858602,16355390
2010-09-22,222.44285583496094,223.19131465509687,219.63280143569497,221.39861333256596,12524510
2010-09-23,220.8473358154297,222.46076961741932,219.88824779358492,221.5375296012967,6190170
2010-09-24,223.66188049316406,224.26691989036934,215.85467433917722,215.85467433917722,13955310
2010-09-27,218.5706329345703,225.05573065964225,218.1448608901427,224.08767028275363,8338720
2010-09-28,219.64175415039062,220.6546347472719,217.04234277305892,218.53028811354065,9432110
2010-09-29,218.9650115966797,221.75713498767138,217.47258017484887,221.75713498767138,7797860
2010-09-30,223.13304138183594,223.9980164552793,217.5174052447815,217.81320259327396,18479890
2010-10-01,224.1548309326172,224.44614208677436,220.7128485657039,223.37052430676673,8865130
2010-10-04,223.54983520507812,226.1133984800471,222.58178858854978,224.15487459832693,6990230
2010-10-05,219.40870666503906,224.9571192669483,218.4809804781387,222.42044533644776,8598330
2010-10-06,220.2109375,222.29494992005556,219.60589810650652,220.05407340876468,4109940
2010-10-07,218.13137817382812,221.39857966695703,217.50393554179564,220.23332124905465,4506420
2010-10-08,215.63954162597656,219.4266283602022,214.2277921744975,218.27481456325728,7453430
2010-10-11,214.0933837890625,218.78129441873986,212.1348458960669,218.78129441873986,9910020
2010-10-12,213.3583221435547,215.12413383630565,209.70569635657057,214.94933891249607,7809900
2010-10-13,218.8216094970703,219.60591634114581,212.16620297046998,213.7796369280134,10286700
2010-10-14,217.3067626953125,220.14372009719813,216.02498786007268,219.1577289337635,3853630
2010-10-15,213.8916778564453,218.9560536527689,213.32697255967204,217.31125783850428,5863270
2010-10-18,214.9852294921875,227.66411366407283,210.91131730131738,227.66411366407283,8275100
2010-10-19,212.33203125,217.18577796356058,211.40879112055055,217.18577796356058,8324520
2010-10-20,209.34718322753906,212.6143853907201,208.67940632619926,212.3454774426363,4930230
2010-10-21,211.99588012695312,212.86534132218068,207.6530602806255,208.85418050563243,7297530
2010-10-22,208.54942321777344,213.33146007396545,207.8189089084907,213.33146007396545,6475190
2010-10-25,206.58192443847656,212.21100512762047,206.070998030018,209.38750620082504,8629790
2010-10-26,206.28614807128906,208.49117679545267,205.35394936795498,206.87774281158005,5069720
2010-10-27,202.0643310546875,206.69847619402296,200.8184041329771,206.69847619402296,8220330
2010-10-28,203.17579650878906,207.58136753287187,200.872182492232,202.26151503275025,21069230
2010-10-29,204.35897827148438,205.9813706695546,200.51362653722836,204.36793685368582,8132430
2010-11-01,210.57070922851562,212.07658554832383,204.8206253851397,205.9813979247697,10134800
2010-11-02,210.6737518310547,213.9588705325024,210.0149336390058,211.98690208575408,5561020
2010-11-03,211.74041748046875,212.60539249231212,210.73649554814034,211.62837365995358,3540760
2010-11-04,214.15609741210938,215.57233309198492,212.2155042569321,214.22780710596422,4858160
2010-11-08,209.33372497558594,215.12415619789175,208.44186045472767,214.5325614858134,4255460
2010-11-09,214.98971557617188,215.733674602908,208.88108351761562,209.74605863929904,6858050
2010-11-10,214.752197265625,216.89894743237198,213.63175884477414,215.1241768033677,4467170
2010-11-11,210.93820190429688,215.9667296407608,209.40992239174918,213.788590430532,3364370
2010-11-12,207.4962158203125,213.24181306243761,206.60882375759584,210.19422633907257,6201550
2010-11-15,213.8558349609375,214.40708188075263,207.4155437773879,207.50518431709781,11407980
2010-11-16,212.6681365966797,215.0972527196931,208.40151270130545,215.0972527196931,9149670
2010-11-18,209.7774200439453,216.82720889698402,207.84129942765932,216.82720889698402,8315990
2010-11-19,206.4833221435547,211.89727368089214,205.44355217821172,210.1942130333878,5876340
2010-11-22,213.32249450683594,214.31295813798536,206.69846380043268,208.04298976528224,5510950
2010-11-23,212.59642028808594,213.3314343159227,206.82840659483273,211.98690846939377,5708120
2010-11-24,207.18247985839844,212.78467118198716,205.25980396651983,211.00092854075555,4128750
2010-11-25,208.22671508789062,211.4222070964949,205.46596733524646,208.40151001619773,11343870
2010-11-26,205.97242736816406,209.7460699436775,204.00943076653593,208.4911843978111,7569690
2010-11-29,205.97242736816406,207.76512882067414,204.8161409492748,206.16066703865735,5909430
2010-11-30,204.85195922851562,209.21270980263677,202.4407876137129,205.8917292025956,8626780
2010-12-01,212.17066955566406,212.8832666385134,204.36793597297287,205.1343119032486,8040720
2010-12-02,214.38465881347656,215.12414532759522,210.92025879929582,213.15217673087054,7369280
2010-12-03,214.7342529296875,215.12416328728955,212.61437864682597,214.6759879471077,3961790
2010-12-06,213.62277221679688,217.36503902619825,212.90568894023434,216.91686368799992,4681560
2010-12-07,210.79026794433594,214.22777827054682,208.7152279407507,213.33142773384998,8597350
2010-12-08,204.40829467773438,209.74606476198275,203.04136532485558,209.74606476198275,11744220
2010-12-09,200.06546020507812,204.7623424846514,198.9270910621286,203.75394801418506,18283920
2010-12-10,199.20045471191406,200.08784663426633,194.534948699473,197.1971107893065,20621230
2010-12-13,200.69288635253906,201.23070216328608,195.52991201370935,201.05143478544514,7911680
2010-12-14,200.6256866455078,204.00044638220876,198.2727661289212,201.40999348437003,5922080
2010-12-15,193.87168884277344,199.88620811848875,192.71540244607658,199.88620811848875,11210210
2010-12-16,197.2688446044922,198.95398813410702,192.71538184793445,193.88064038059952,9759180
2010-12-20,194.73219299316406,197.17922661749387,192.84537856616788,197.17922661749387,5161220
2010-12-21,198.4610137939453,198.9047030182588,194.67841270718262,194.77701183227742,6175580
2010-12-22,195.29685974121094,200.78252066113387,194.51255301987837,200.1550780195126,7503240
2010-12-23,196.38595581054688,197.55568689766056,194.86216237073558,195.40445070936534,3263270
2010-12-24,198.84642028808594,199.41561169102025,194.9562618401093,196.21114725002911,3516710
2010-12-27,198.42515563964844,199.88621169828113,196.9372238306674,198.90022042977563,3770630
2010-12-28,202.2301483154297,203.35505903333967,198.55510533415398,199.33941211990702,4675030
2010-12-29,208.65248107910156,209.4591911076361,201.9970754734076,202.2166906598743,8071040
2010-12-30,206.6536102294922,210.05077260189543,205.0894693086069,209.40539914859497,7252350
2010-12-31,210.31521606445312,211.98691484101718,205.44803891879482,206.60881129325352,8248910
2011-01-03,214.27261352539062,215.09276830587567,210.67823886831616,212.43509206114672,5398390
2011-01-04,210.24351501464844,214.04853273154959,209.11860427686543,213.91407193099582,8284130
2011-01-05,206.89564514160156,210.61549453637608,205.93654346659156,210.61549453637608,7825920
2011-01-06,208.64801025390625,209.98357760249493,206.96735284016341,207.59480921640744,5435090
2011-01-07,203.4222869873047,208.50906553811683,202.66486966030914,208.50906553811683,7948010
2011-01-10,192.9170684814453,203.47159160597536,191.6397661070641,202.22117865613058,20070860
2011-01-11,192.41062927246094,198.87330964725646,190.47450863160097,194.50808646144665,12157590
2011-01-12,197.6721954345703,198.45201607477227,188.8252194469837,194.41843840107995,9905330
2011-01-13,192.0879669189453,198.75681863378432,190.60002140335155,198.00387361513413,9486010
2011-01-14,183.7115478515625,197.9142248975452,181.95918070156853,192.71538842776962,12791410
2011-01-17,185.374267578125,187.60618552217903,183.80116787990934,184.64822577194082,12280820
2011-01-18,189.0717010498047,189.66778182471788,183.45157927245748,187.05042618312194,8420160
2011-01-19,186.03309631347656,189.49301041235103,184.9171441171388,189.27788132988957,8992050
2011-01-20,189.80673217773438,191.31708080208512,183.3843722496194,185.47735699025148,9638540
2011-01-21,187.70928955078125,190.44764825171083,186.09138298402303,188.5921956019423,8297610
2011-01-24,192.58985900878906,193.0738822357582,185.81345176788628,187.78542003037413,12774160
2011-01-25,186.8263397216797,194.94280111405735,185.55352357411013,192.82292712645514,14110540
2011-01-27,183.83255004882812,188.2336349874985,182.94517166588275,188.2336349874985,18945580
2011-01-28,184.1328582763672,187.27904453157785,183.0393092510223,184.2000818481656,17798420
2011-01-31,183.50987243652344,184.9574837207499,178.9295198759532,183.09755877948797,11118030
2011-02-01,182.8196563720703,186.1630399508649,180.62358667677364,186.1630399508649,8551230
2011-02-02,181.0538330078125,184.9619215317631,179.82582358613135,183.88629004589473,9762170
2011-02-03,184.73338317871094,185.70144349510977,180.16647564953598,181.06282627465805,5796030
2011-02-04,180.86114501953125,186.88910854790166,179.71830342376157,183.84152184103226,9253200
2011-02-07,182.75244140625,184.64822789312854,181.08075625180663,183.3037019618679,8559460
